f1,f2
139.9658203125,2115.63720703125
253.01513671875,516.796875
253.01513671875,473.73046875
274.54833984375,532.94677734375
258.3984375,576.01318359375
301.46484375,602.9296875
312.2314453125,527.5634765625
285.31494140625,586.77978515625
263.78173828125,538.330078125
279.931640625,576.01318359375
253.01513671875,527.5634765625
306.84814453125,629.84619140625
279.931640625,586.77978515625
226.0986328125,398.3642578125
290.6982421875,656.7626953125
274.54833984375,392.98095703125
236.865234375,511.41357421875
306.84814453125,672.91259765625
269.1650390625,543.71337890625
317.61474609375,506.0302734375
312.2314453125,468.34716796875
263.78173828125,699.8291015625
339.14794921875,527.5634765625
242.24853515625,457.58056640625
263.78173828125,570.6298828125
279.931640625,392.98095703125
306.84814453125,516.796875
301.46484375,549.0966796875
258.3984375,522.18017578125
290.6982421875,484.4970703125
290.6982421875,597.54638671875
263.78173828125,581.396484375
258.3984375,506.0302734375
263.78173828125,549.0966796875
285.31494140625,672.91259765625
290.6982421875,656.7626953125
279.931640625,538.330078125
269.1650390625,527.5634765625
296.08154296875,667.529296875
231.48193359375,484.4970703125
339.14794921875,656.7626953125
290.6982421875,656.7626953125
253.01513671875,522.18017578125
301.46484375,662.14599609375
242.24853515625,484.4970703125
269.1650390625,570.6298828125
204.5654296875,349.91455078125
269.1650390625,419.8974609375
263.78173828125,549.0966796875
290.6982421875,656.7626953125
306.84814453125,613.6962890625
269.1650390625,489.88037109375
344.53125,667.529296875
296.08154296875,570.6298828125
177.64892578125,317.61474609375
662.14599609375,1243.54248046875
199.18212890625,2147.93701171875
296.08154296875,597.54638671875
306.84814453125,662.14599609375
269.1650390625,549.0966796875
263.78173828125,581.396484375
279.931640625,527.5634765625
279.931640625,549.0966796875
188.41552734375,1415.80810546875
344.53125,506.0302734375
236.865234375,468.34716796875
242.24853515625,500.64697265625
209.94873046875,592.1630859375
263.78173828125,694.44580078125
279.931640625,689.0625
226.0986328125,360.68115234375
312.2314453125,667.529296875
247.6318359375,597.54638671875
290.6982421875,672.91259765625
231.48193359375,430.6640625
301.46484375,662.14599609375
258.3984375,549.0966796875
290.6982421875,538.330078125
226.0986328125,339.14794921875
290.6982421875,662.14599609375
306.84814453125,500.64697265625
242.24853515625,473.73046875
290.6982421875,662.14599609375
290.6982421875,608.31298828125
274.54833984375,576.01318359375
328.38134765625,995.91064453125
328.38134765625,608.31298828125
247.6318359375,522.18017578125
258.3984375,570.6298828125
258.3984375,570.6298828125
290.6982421875,414.51416015625
322.998046875,608.31298828125
339.14794921875,645.99609375
290.6982421875,656.7626953125
188.41552734375,333.7646484375
290.6982421875,1846.47216796875
290.6982421875,656.7626953125
242.24853515625,576.01318359375
274.54833984375,554.47998046875
296.08154296875,522.18017578125
296.08154296875,608.31298828125
274.54833984375,538.330078125
290.6982421875,656.7626953125
290.6982421875,651.37939453125
290.6982421875,376.8310546875
274.54833984375,597.54638671875
317.61474609375,608.31298828125
258.3984375,549.0966796875
258.3984375,543.71337890625
258.3984375,479.11376953125
253.01513671875,425.28076171875
247.6318359375,527.5634765625
274.54833984375,457.58056640625
285.31494140625,543.71337890625
322.998046875,667.529296875
366.064453125,662.14599609375
